dataset,template,concept_type,concept_primary,concept_tags,concept_confidence_mean,concept_source_mode,bucket_size,label_coverage,one_shot_status,global_one_shot_acc,global_one_shot_macro_f1,global_one_shot_status,global_label_coverage,zero_shot_acc,zero_shot_macro_f1,one_shot_acc,one_shot_macro_f1
snli_test_holdout,negation_explicit,action,action,action|count|spatial,0.9082951542332044,rule,986,3,ok,0.3533734083175659,0.3013947117234039,ok,3,0.3985801339149475,0.3916146033038477,0.3621566593647003,0.3154277835032236
snli_test_holdout,negation_explicit,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999998,rule,358,3,ok,0.3533734083175659,0.3013947117234039,ok,3,0.38268157839775085,0.3590728710795323,0.31830987334251404,0.3009469006816898
synth_identity_entail,base,negation,negation,negation|action|count,0.6354166662625867,rule,4,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.0,0.0,,
synth_identity_entail,base,count,count,count|action|spatial,0.8480504652883405,rule,71,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.11267605423927307,0.06751054846082356,,
synth_identity_entail,base,spatial,spatial,spatial|action|count,0.747690604850101,rule,116,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.08620689809322357,0.05291005286050222,,
synth_identity_entail,base,action,action,action|count|spatial,0.8600838740871796,rule,1169,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.1000855416059494,0.060653188125175034,,
synth_identity_entail,base,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999998,rule,140,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.1071428582072258,0.06451612897315297,,
synth_identity_entail,low_specificity,negation,negation,negation|action|count,0.6354166662625867,rule,4,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.0,0.0,,
synth_identity_entail,low_specificity,count,count,count|action|spatial,0.8480504652883405,rule,71,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.26760563254356384,0.14074074062658434,,
synth_identity_entail,low_specificity,spatial,spatial,spatial|action|count,0.747690604850101,rule,116,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.2844827473163605,0.1476510065944777,,
synth_identity_entail,low_specificity,action,action,action|count|spatial,0.8600838740871796,rule,1169,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.3216424286365509,0.16224379707228426,,
synth_identity_entail,low_specificity,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999998,rule,140,1,insufficient_class_coverage,,,insufficient_class_coverage,1,0.4642857015132904,0.2113821136747174,,
